customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
1258-BRGLJ,03-02-2023,Paid,03-02-2024,Premium,Annual,14-06-2023,Not enough content,19.75,908,71
1259-XBQBL,11-04-2021,Organic,11-04-2022,Basic,Annual,,,9.36,549,5
1260-EJXQU,27-08-2023,Organic,27-08-2024,Standard,Monthly,,,13.45,713,54
1261-FYYXX,16-07-2023,Organic,16-07-2024,Premium,Annual,,,21.38,742,23
1262-SKFJF,28-03-2022,Refferal,28-03-2023,Standard,Monthly,,,15.33,1048,68
1263-ALGYP,12-07-2019,Organic,12-07-2020,Standard,Monthly,,,15.82,859,66
1264-UDJNR,12-06-2019,Refferal,12-06-2020,Standard,Monthly,,,10.34,657,65
1265-XLJSS,06-02-2019,Paid,06-02-2020,Basic,Annual,,,8.59,368,15
1266-HZNDJ,11-10-2022,Paid,11-10-2023,Standard,Annual,,,16.31,927,50
1267-LPXHU,06-10-2020,Refferal,06-10-2021,Standard,Monthly,,,14.05,972,56
1268-DFAHD,06-09-2022,Organic,06-09-2023,Standard,Monthly,,,12.85,706,58
1269-YDZPN,02-08-2024,Organic,02-08-2025,Basic,Monthly,,,7.03,623,42
1270-CBRQF,11-08-2020,Organic,11-08-2021,Standard,Monthly,,,12.94,487,84
1271-LKAJH,24-07-2024,Paid,24-07-2025,Premium,Monthly,07-12-2024,Not enough content,20.58,1162,54
1272-ZBZUC,18-05-2022,Organic,18-05-2023,Standard,Annual,,,14.42,463,71
1273-FUDHR,16-05-2019,Paid,16-05-2020,Premium,Monthly,,,21.58,1005,85
1274-RMSCN,09-01-2020,Refferal,09-01-2021,Standard,Annual,06-07-2020,Forgot to cancel trial,16.33,1112,36
1275-UPWVS,17-03-2019,Organic,17-03-2020,Basic,Annual,,,13.05,479,33
1276-NVVPS,23-05-2021,Refferal,23-05-2022,Standard,Annual,,,17.19,858,84
1277-TAVFW,25-08-2019,Organic,25-08-2020,Standard,Monthly,,,13.07,487,49
1278-XBHAC,09-12-2020,Organic,09-12-2021,Premium,Monthly,,,18.97,861,38
1279-PCPAF,19-12-2021,Organic,19-12-2022,Basic,Annual,,,7.91,931,47
1280-NKUHM,13-02-2022,Organic,13-02-2023,Basic,Annual,,,5.99,431,64
1281-GWEBW,13-03-2019,Organic,13-03-2020,Standard,Annual,,,13.88,713,63
1282-ZJQZC,09-09-2022,Organic,09-09-2023,Basic,Monthly,,,8.83,582,53
1283-ATVMA,25-09-2024,Organic,25-09-2025,Standard,Monthly,10-07-2025,Not enough content,14.63,643,99
1284-NAUZX,28-11-2023,Organic,28-11-2024,Premium,Annual,,,19.82,683,39
1285-UPMPN,20-07-2023,Organic,20-07-2024,Standard,Annual,16-06-2024,Switched to competitor,12.59,793,75
1286-VQURK,19-05-2024,Refferal,19-05-2025,Basic,Annual,12-09-2024,Switched to competitor,6.73,595,22
1287-ZKKPV,16-04-2022,Organic,16-04-2023,Standard,Annual,,,12.78,610,62
1288-HPVQY,26-06-2020,Paid,26-06-2021,Basic,Annual,28-04-2021,Not enough content,5.99,749,80
1289-QLUEA,12-04-2023,Paid,12-04-2024,Standard,Monthly,,,12.64,861,50
1290-WXRWG,26-04-2019,Paid,26-04-2020,Premium,Monthly,,,21.73,1410,80
1291-PRBTU,08-03-2024,Refferal,08-03-2025,Basic,Annual,,,7.6,355,23
1292-YGXFC,06-02-2020,Organic,06-02-2021,Basic,Monthly,,,6.38,729,49
1293-SCPMF,08-11-2024,Paid,08-11-2025,Basic,Monthly,,,6.85,585,58
1294-NFLAZ,26-07-2024,Refferal,26-07-2025,Basic,Annual,,,10.6,513,99
1295-WTXVV,25-01-2024,Paid,25-01-2025,Basic,Annual,,,6.91,555,69
1296-RHBDN,27-10-2024,Organic,27-10-2025,Basic,Monthly,15-06-2025,Poor streaming quality,12.05,758,63
1297-FYYRR,12-02-2020,Organic,12-02-2021,Basic,Monthly,,,9.29,803,75
1298-VMFEY,07-11-2024,Organic,07-11-2025,Standard,Monthly,20-04-2025,Too expensive,15.11,1017,80
1299-JSLAD,02-09-2019,Organic,02-09-2020,Basic,Annual,,,11.03,636,56
1300-VTVAN,16-09-2020,Organic,16-09-2021,Premium,Annual,14-07-2021,Poor streaming quality,21.31,563,81
1301-JLXGV,05-04-2019,Organic,05-04-2020,Basic,Monthly,30-12-2019,Poor streaming quality,8.8,468,40
1302-MLZPL,27-09-2024,Paid,27-09-2025,Basic,Annual,,,10.8,785,49
1303-PKBUS,03-01-2020,Organic,03-01-2021,Standard,Annual,,,11,670,65
1304-HBQLY,09-07-2019,Refferal,09-07-2020,Basic,Annual,22-11-2019,Too expensive,12.75,679,34
1305-RYDHV,09-08-2022,Paid,09-08-2023,Standard,Monthly,,,14.54,769,95
1306-LAJMF,05-05-2022,Organic,05-05-2023,Premium,Annual,08-01-2023,Not enough content,21.6,1026,67
1307-YNNKM,02-07-2020,Organic,02-07-2021,Basic,Annual,,,7.01,694,46
1308-QGZWE,04-07-2019,Organic,04-07-2020,Basic,Annual,,,5.99,382,45
1309-THVQS,16-04-2019,Organic,16-04-2020,Standard,Annual,,,16.62,843,12
1310-HMMAD,27-10-2021,Organic,27-10-2022,Premium,Monthly,,,21.82,1082,98
1311-WTQPG,11-10-2022,Paid,11-10-2023,Standard,Monthly,,,12.77,276,99
1312-RLLDT,23-12-2021,Refferal,23-12-2022,Standard,Monthly,,,9.15,446,66
1313-ZDESC,07-04-2021,Organic,07-04-2022,Standard,Annual,27-07-2021,Too expensive,11.74,812,64
1314-ABLQC,20-09-2024,Refferal,20-09-2025,Standard,Annual,,,12.75,823,18
1315-CCQUY,24-08-2023,Organic,24-08-2024,Premium,Monthly,,,22.42,1051,59
1316-ZUAWM,14-09-2020,Organic,14-09-2021,Premium,Monthly,,,18.64,957,26
1317-NSYLU,05-11-2024,Paid,05-11-2025,Premium,Monthly,,,20.89,984,70
1318-HKSPH,18-04-2024,Organic,18-04-2025,Standard,Annual,,,14.76,1141,19
1319-UXCNK,01-03-2024,Paid,01-03-2025,Basic,Annual,02-09-2024,Poor streaming quality,7.81,710,70
1320-CUYLP,10-05-2021,Paid,10-05-2022,Standard,Annual,19-12-2021,Forgot to cancel trial,14.99,937,64
1321-CTVBB,16-10-2021,Paid,16-10-2022,Standard,Annual,,,15.4,904,81
1322-DNMLZ,04-07-2023,Organic,04-07-2024,Basic,Monthly,09-02-2024,Not enough content,9.55,986,47
1323-MUDQB,16-07-2019,Refferal,16-07-2020,Standard,Monthly,,,12.5,658,97
1324-QUNML,11-07-2020,Refferal,11-07-2021,Standard,Annual,,,10.84,550,50
1325-SPVSP,01-09-2022,Organic,01-09-2023,Basic,Annual,14-01-2023,Too expensive,9.84,612,26
1326-PCNHQ,04-02-2021,Organic,04-02-2022,Premium,Monthly,20-04-2021,Too expensive,16.83,271,51
1327-EQHAB,25-04-2020,Paid,25-04-2021,Standard,Monthly,,,10.51,898,76
1328-HPBAR,15-07-2023,Organic,15-07-2024,Basic,Annual,,,8.93,525,19
1329-UNLXL,09-10-2021,Organic,09-10-2022,Premium,Monthly,,,20.98,1254,35
1330-BTPHK,21-06-2024,Organic,21-06-2025,Basic,Annual,,,9.92,746,36
1331-MQASR,26-02-2023,Paid,26-02-2024,Premium,Annual,,,21.45,1102,10
1332-CZKQK,12-12-2024,Paid,12-12-2025,Basic,Annual,,,6.49,390,21
1333-ZAMSQ,07-09-2020,Paid,07-09-2021,Standard,Monthly,,,17.94,501,73
1334-TGWAZ,04-05-2022,Organic,04-05-2023,Standard,Monthly,,,15.25,1100,88
1335-GLLAE,10-06-2020,Organic,10-06-2021,Basic,Annual,,,8.12,553,27
1336-YWFMZ,19-08-2024,Refferal,19-08-2025,Basic,Annual,,,8.86,784,62
1337-UBVBQ,25-10-2019,Paid,25-10-2020,Standard,Annual,,,16.3,1003,38
1338-LQCRS,21-03-2023,Paid,21-03-2024,Standard,Monthly,,,14.42,473,99
1339-ZUHXU,17-04-2019,Organic,17-04-2020,Premium,Monthly,27-08-2019,Too expensive,24.81,1139,66
1340-SSZQH,21-01-2020,Paid,21-01-2021,Basic,Monthly,07-08-2020,Poor streaming quality,6.93,523,45
1341-FGEWF,10-04-2021,Organic,10-04-2022,Standard,Monthly,03-02-2022,Forgot to cancel trial,15.14,923,42
1342-BDYVE,08-06-2020,Refferal,08-06-2021,Basic,Annual,,,12.7,938,81
1343-FBMRB,16-08-2024,Refferal,16-08-2025,Basic,Monthly,,,8.07,540,52
1344-EWKHX,08-06-2023,Paid,08-06-2024,Standard,Monthly,,,11.74,340,53
1345-VHKEF,04-02-2020,Organic,04-02-2021,Basic,Monthly,20-08-2020,Not enough content,8.87,427,64
1346-SGSZZ,17-11-2022,Refferal,17-11-2023,Premium,Annual,,,24.45,934,25
1347-FQPMV,01-09-2022,Organic,01-09-2023,Standard,Monthly,,,14.48,825,80
1348-WJLSK,03-07-2020,Organic,03-07-2021,Standard,Monthly,,,12.98,664,80
1349-CCPAS,03-09-2024,Organic,03-09-2025,Standard,Monthly,01-05-2025,Poor streaming quality,13.61,686,76
1350-DELTM,20-07-2019,Refferal,20-07-2020,Premium,Monthly,,,17.52,1053,95
1351-TGXLS,06-11-2022,Paid,06-11-2023,Standard,Monthly,24-02-2023,Not enough content,12.61,912,68
1352-RBTXX,06-08-2022,Organic,06-08-2023,Basic,Monthly,29-04-2023,Poor streaming quality,8.56,396,37
1353-EAGTD,27-05-2022,Paid,27-05-2023,Basic,Annual,28-08-2022,Forgot to cancel trial,7.93,693,71
1354-NLBRN,12-04-2020,Organic,12-04-2021,Premium,Monthly,19-05-2020,Not enough content,20.17,586,79
1355-BZCWR,14-07-2023,Organic,14-07-2024,Basic,Monthly,,,10.52,519,9
1356-KMBVR,26-09-2024,Organic,26-09-2025,Premium,Annual,,,18.53,1120,24
1357-SSZSH,23-10-2023,Paid,23-10-2024,Premium,Monthly,,,19.96,776,72
1358-UQBJH,11-05-2020,Paid,11-05-2021,Standard,Annual,,,15.04,587,52
1359-AWHFN,03-08-2019,Refferal,03-08-2020,Premium,Monthly,,,23.18,455,50
1360-PVENL,15-10-2021,Refferal,15-10-2022,Premium,Monthly,17-05-2022,Poor streaming quality,20.05,981,96
1361-LQLDY,06-12-2023,Organic,06-12-2024,Basic,Monthly,,,7.22,482,41
1362-DMDEA,19-11-2021,Refferal,19-11-2022,Basic,Annual,04-10-2022,Too expensive,12.56,639,50
1363-GXTNM,23-11-2021,Paid,23-11-2022,Standard,Annual,13-08-2022,Too expensive,16.26,621,56
1364-YWAUR,10-12-2021,Refferal,10-12-2022,Standard,Monthly,,,13.56,795,54
1365-YWCPV,03-02-2019,Organic,03-02-2020,Premium,Monthly,11-10-2019,Too expensive,22.59,890,63
1366-PFETV,03-05-2019,Organic,03-05-2020,Standard,Monthly,,,13.81,345,57
1367-CBUAP,20-06-2022,Refferal,20-06-2023,Standard,Monthly,,,16.01,1112,63
1368-RKBJH,23-05-2023,Organic,23-05-2024,Premium,Monthly,,,14.62,876,99
1369-RARYH,26-10-2024,Refferal,26-10-2025,Basic,Monthly,,,10.43,876,26
1370-XTHED,16-02-2022,Organic,16-02-2023,Standard,Monthly,,,11.67,1051,41
1371-LTDYX,11-12-2019,Paid,11-12-2020,Premium,Annual,,,20.57,1163,62
1372-TTKRP,07-10-2024,Organic,07-10-2025,Standard,Monthly,,,15.08,1024,59
1373-ABNWZ,18-01-2022,Paid,18-01-2023,Premium,Monthly,09-06-2022,Poor streaming quality,26.28,1266,63
1374-HNSGW,23-04-2024,Paid,23-04-2025,Standard,Annual,,,16.3,1114,76
1375-VXDAK,23-04-2024,Organic,23-04-2025,Premium,Monthly,,,22.4,1320,35
1376-WTLDD,04-10-2024,Organic,04-10-2025,Standard,Annual,,,11.47,483,54
1377-YCZEB,13-04-2019,Refferal,13-04-2020,Standard,Annual,,,13.85,722,55
1378-VRUWR,19-10-2019,Paid,19-10-2020,Premium,Monthly,16-09-2020,Too expensive,21.92,963,99
1379-SHDHT,27-09-2019,Paid,27-09-2020,Standard,Annual,10-02-2020,Switched to competitor,13.45,789,73
1380-EPVCD,06-09-2021,Organic,06-09-2022,Standard,Annual,28-06-2022,Not enough content,11.29,819,61
1381-PSNZJ,20-03-2020,Organic,20-03-2021,Standard,Annual,,,13.34,642,79
1382-GRDLY,21-11-2023,Organic,21-11-2024,Premium,Annual,30-07-2024,Poor streaming quality,21.27,638,50
1383-BCCPB,08-07-2019,Refferal,08-07-2020,Standard,Monthly,10-01-2020,Forgot to cancel trial,11.58,1046,22
1384-NSWPQ,09-03-2023,Organic,09-03-2024,Basic,Monthly,18-10-2023,Forgot to cancel trial,6.13,140,27
1385-LJMGY,08-12-2019,Organic,08-12-2020,Premium,Monthly,,,19.58,1215,31
1386-WZLNT,23-01-2024,Organic,23-01-2025,Standard,Monthly,,,16.21,1270,40
1387-ZYSBL,16-07-2019,Organic,16-07-2020,Standard,Monthly,,,16.15,213,48
1388-UCHHF,20-01-2021,Organic,20-01-2022,Standard,Monthly,,,19.03,702,24
1389-ALENX,10-06-2022,Paid,10-06-2023,Standard,Annual,19-02-2023,Poor streaming quality,16.24,872,99
1390-LJWEE,16-07-2019,Paid,16-07-2020,Standard,Annual,,,15.23,1031,64
1391-NYWKC,24-10-2022,Organic,24-10-2023,Basic,Monthly,30-06-2023,Too expensive,9.66,643,56
1392-EGCGS,21-11-2023,Organic,21-11-2024,Basic,Monthly,,,7.85,412,32
1393-AEWKN,12-05-2019,Organic,12-05-2020,Basic,Monthly,,,5.99,220,47
1394-XCEYJ,24-06-2024,Organic,24-06-2025,Premium,Monthly,,,18.56,946,66
1395-XDTCQ,25-08-2024,Organic,25-08-2025,Basic,Annual,,,10.01,437,5
1396-XWXZX,09-10-2020,Organic,09-10-2021,Standard,Monthly,,,16.06,883,33
1397-TKSWZ,01-03-2020,Paid,01-03-2021,Basic,Monthly,,,9.2,675,30
1398-SNHFS,28-05-2020,Organic,28-05-2021,Premium,Annual,,,18.06,918,40
1399-YXGDX,22-09-2019,Paid,22-09-2020,Premium,Annual,04-05-2020,Not enough content,17.49,1015,67
1400-PVFGP,06-08-2020,Paid,06-08-2021,Premium,Monthly,,,22.21,999,70
1401-HXVSE,20-01-2024,Organic,20-01-2025,Basic,Monthly,12-03-2024,Too expensive,8.27,508,40
1402-PVWCD,04-09-2024,Paid,04-09-2025,Basic,Monthly,04-05-2025,Too expensive,9.19,445,54
1403-FKJGY,04-06-2023,Organic,04-06-2024,Standard,Annual,19-09-2023,Too expensive,12.45,394,32
1404-ELXSQ,25-03-2019,Organic,25-03-2020,Standard,Monthly,,,17.84,863,27
1405-BPZGC,11-11-2023,Refferal,11-11-2024,Basic,Annual,,,6.41,449,62
1406-MNFCT,02-02-2020,Refferal,02-02-2021,Premium,Monthly,,,23.74,806,46
1407-WPYLF,12-07-2024,Paid,12-07-2025,Basic,Monthly,11-06-2025,Too expensive,6.15,184,99
1408-BBPVD,23-11-2022,Organic,23-11-2023,Basic,Monthly,,,8.67,662,64
1409-DKLYL,07-12-2020,Organic,07-12-2021,Standard,Monthly,,,13.58,909,53
1410-BSMRK,12-02-2019,Organic,12-02-2020,Standard,Annual,16-12-2019,Switched to competitor,13.67,930,70
1411-UHPRA,10-02-2021,Organic,10-02-2022,Basic,Monthly,,,6.76,425,18
1412-TZSCK,05-03-2021,Paid,05-03-2022,Standard,Monthly,,,19.67,1027,40
1413-SDTZN,13-11-2024,Paid,13-11-2025,Basic,Annual,,,11.68,776,32
1414-CAUHW,12-06-2023,Paid,12-06-2024,Basic,Monthly,10-03-2024,Not enough content,11.57,702,44
1415-YYZMJ,14-11-2019,Refferal,14-11-2020,Standard,Monthly,,,12.71,610,32
1416-TFVAW,15-08-2021,Organic,15-08-2022,Standard,Annual,08-11-2021,Poor streaming quality,11.3,591,48
1417-FTCLP,16-07-2021,Organic,16-07-2022,Basic,Monthly,,,8.5,595,14
1418-EDGBW,06-05-2021,Paid,06-05-2022,Basic,Annual,,,9.82,746,2
1419-LXPVP,16-03-2022,Refferal,16-03-2023,Premium,Monthly,,,23.69,1326,34
1420-ATESU,10-05-2019,Paid,10-05-2020,Standard,Annual,,,14.91,718,34
1421-JPNUC,28-05-2022,Paid,28-05-2023,Standard,Annual,,,15.22,1054,52
1422-CCWCA,28-05-2024,Organic,28-05-2025,Standard,Monthly,,,11.96,295,59
1423-CZXKV,08-11-2022,Organic,08-11-2023,Basic,Annual,17-06-2023,Forgot to cancel trial,7.75,475,21
1424-JZZFZ,17-06-2022,Paid,17-06-2023,Basic,Monthly,15-09-2022,Forgot to cancel trial,10.71,822,78
1425-RGPYE,24-12-2019,Paid,24-12-2020,Basic,Monthly,,,5.99,651,45
1426-HNFUU,04-10-2022,Refferal,04-10-2023,Basic,Monthly,14-07-2023,Not enough content,8.3,723,99
1427-BSKHX,16-06-2021,Organic,16-06-2022,Premium,Annual,,,21.41,809,46
1428-QNNUF,16-05-2021,Paid,16-05-2022,Basic,Monthly,,,7.65,694,69
1429-LYYGE,20-07-2022,Paid,20-07-2023,Standard,Annual,,,12.26,311,20
1430-JRBEA,26-07-2021,Organic,26-07-2022,Basic,Monthly,,,9.11,89,24
1431-ASTFP,09-09-2019,Paid,09-09-2020,Standard,Annual,,,14.84,777,99
1432-SLVEB,19-06-2023,Organic,19-06-2024,Standard,Monthly,,,15.83,926,57
1433-XGWKX,13-06-2021,Paid,13-06-2022,Basic,Annual,12-12-2021,Poor streaming quality,10.01,646,38
1434-XWYCF,24-04-2019,Refferal,24-04-2020,Premium,Monthly,,,21.7,1412,46
1435-GUCYB,11-03-2019,Refferal,11-03-2020,Premium,Annual,,,20.61,961,36
1436-CNPRZ,24-11-2024,Organic,24-11-2025,Premium,Annual,,,19.01,705,54
1437-MKMJV,28-08-2022,Organic,28-08-2023,Standard,Monthly,01-05-2023,Too expensive,16.38,878,66
1438-PCMCC,18-02-2021,Organic,18-02-2022,Basic,Monthly,,,9.79,696,81
1439-YEEEG,19-01-2019,Organic,19-01-2020,Basic,Monthly,,,8.01,377,19
1440-KCTXG,17-03-2019,Paid,17-03-2020,Premium,Annual,,,20.32,991,42
1441-SDHLZ,01-10-2022,Organic,01-10-2023,Standard,Monthly,,,14.11,739,68
1442-WNEDC,27-01-2022,Refferal,27-01-2023,Standard,Annual,,,15.06,557,49
1443-QCSTA,24-04-2021,Organic,24-04-2022,Basic,Annual,11-10-2021,Forgot to cancel trial,5.99,334,38
1444-YNGSX,14-02-2023,Paid,14-02-2024,Premium,Monthly,11-05-2023,Switched to competitor,22.31,1188,99
1445-MDZQR,02-02-2023,Organic,02-02-2024,Standard,Monthly,,,13.52,550,90
1446-EQBFM,06-05-2023,Organic,06-05-2024,Standard,Annual,,,13.25,716,33
1447-DPHCP,23-11-2023,Organic,23-11-2024,Standard,Monthly,,,13.14,708,59
1448-AUCDX,13-03-2022,Paid,13-03-2023,Standard,Monthly,,,14,1077,69
1449-GZCQV,18-03-2023,Organic,18-03-2024,Standard,Monthly,,,16.08,493,21
1450-HZAMS,27-01-2022,Refferal,27-01-2023,Standard,Monthly,,,16.05,733,24
1451-FWGQL,10-08-2022,Paid,10-08-2023,Basic,Monthly,,,5.99,537,11
1452-VMVDG,15-03-2021,Organic,15-03-2022,Premium,Monthly,26-12-2021,Forgot to cancel trial,22.66,317,48
1453-NNEDR,13-08-2024,Organic,13-08-2025,Premium,Annual,,,19.79,632,63
1454-GSQPQ,25-04-2021,Organic,25-04-2022,Premium,Annual,,,21.39,837,53
1455-ULBQC,19-11-2020,Paid,19-11-2021,Standard,Monthly,,,14.25,826,36
1456-LNUCA,24-11-2020,Paid,24-11-2021,Premium,Annual,09-04-2021,Forgot to cancel trial,20.64,954,56
1457-JXWVL,20-01-2020,Refferal,20-01-2021,Standard,Monthly,,,13.01,787,35
1458-JWDGN,09-08-2023,Organic,09-08-2024,Standard,Monthly,08-10-2023,Too expensive,17.76,385,24
1459-HUXBM,24-05-2020,Paid,24-05-2021,Basic,Monthly,,,11.23,493,48
1460-WZABU,23-07-2022,Paid,23-07-2023,Basic,Annual,21-10-2022,Forgot to cancel trial,10.28,1086,31
1461-ELBFQ,05-01-2019,Organic,05-01-2020,Standard,Monthly,,,15.48,1334,44
1462-DKRRB,17-04-2024,Paid,17-04-2025,Premium,Monthly,10-11-2024,Poor streaming quality,19.66,1065,82
1463-GEDZF,27-08-2019,Organic,27-08-2020,Basic,Monthly,,,10.85,496,85
1464-QMWKB,25-10-2019,Refferal,25-10-2020,Premium,Annual,,,19.33,811,64
1465-JVLLT,15-07-2020,Organic,15-07-2021,Standard,Annual,01-01-2021,Switched to competitor,18.42,1062,51
1466-HPAGG,01-08-2022,Refferal,01-08-2023,Standard,Monthly,,,14.4,706,25
1467-BYGQH,05-03-2024,Organic,05-03-2025,Premium,Annual,,,23.63,597,38
1468-LHPFY,17-02-2019,Organic,17-02-2020,Standard,Monthly,25-09-2019,Poor streaming quality,15.17,689,83
1469-GAQJZ,19-03-2021,Paid,19-03-2022,Basic,Annual,,,10.18,435,27
1470-PJFVA,04-12-2023,Organic,04-12-2024,Premium,Monthly,,,24.29,1001,54
1471-GWHFF,18-06-2019,Paid,18-06-2020,Standard,Annual,,,16.91,863,63
1472-PVDNU,17-07-2022,Paid,17-07-2023,Premium,Monthly,,,25.75,1548,50
1473-ACGPY,13-09-2023,Organic,13-09-2024,Premium,Monthly,,,21.12,1343,68
1474-XXQQZ,05-12-2022,Paid,05-12-2023,Standard,Annual,,,15.11,951,63
1475-AQSLH,17-10-2019,Refferal,17-10-2020,Premium,Monthly,,,20.19,610,42
1476-EDVTZ,16-05-2021,Organic,16-05-2022,Standard,Annual,,,9.66,533,95
1477-YRDEW,07-06-2019,Organic,07-06-2020,Basic,Annual,,,7.5,496,35
1478-YTYCX,24-04-2024,Organic,24-04-2025,Basic,Monthly,,,9.78,558,69
1479-BSXAC,28-07-2023,Organic,28-07-2024,Premium,Annual,30-11-2023,Poor streaming quality,20.62,739,60
1480-FELGK,13-11-2022,Organic,13-11-2023,Standard,Monthly,09-05-2023,Poor streaming quality,17.53,1205,67
1481-RCMHC,17-05-2021,Organic,17-05-2022,Basic,Annual,,,9.45,566,68
1482-KVLGB,25-04-2023,Paid,25-04-2024,Standard,Annual,,,11.14,552,60
1483-FNZWK,25-01-2019,Organic,25-01-2020,Premium,Monthly,,,19.83,914,75
1484-FUFGC,24-01-2019,Organic,24-01-2020,Premium,Annual,,,21.04,1422,61
1485-QHHNA,08-02-2022,Paid,08-02-2023,Premium,Monthly,,,21.52,1069,99
1486-AMKJP,04-10-2022,Paid,04-10-2023,Standard,Monthly,,,10.12,549,76
1487-TPFUG,07-12-2021,Paid,07-12-2022,Premium,Annual,06-05-2022,Not enough content,23.83,962,72
1488-PTTYL,02-02-2022,Paid,02-02-2023,Premium,Monthly,,,18.3,498,60
1489-LACZT,07-11-2023,Organic,07-11-2024,Premium,Annual,,,19.71,1175,67
1490-HTZYD,07-04-2024,Organic,07-04-2025,Standard,Monthly,01-01-2025,Forgot to cancel trial,14.86,673,28
1491-PFRYG,05-10-2019,Organic,05-10-2020,Basic,Monthly,,,10.62,476,35
1492-RKPWQ,28-08-2020,Refferal,28-08-2021,Basic,Monthly,10-05-2021,Poor streaming quality,8.02,697,31
1493-NCPKK,23-05-2024,Organic,23-05-2025,Basic,Monthly,,,7.72,314,59
1494-XREWW,17-06-2022,Organic,17-06-2023,Basic,Annual,,,7.03,531,58
1495-AGRRK,24-08-2020,Paid,24-08-2021,Premium,Annual,07-10-2020,Forgot to cancel trial,24.79,1377,47
1496-CPZEQ,14-07-2024,Organic,14-07-2025,Premium,Annual,,,23.04,675,21
1497-CLGEN,03-02-2019,Organic,03-02-2020,Basic,Monthly,,,5.99,294,79
1498-YHSYW,09-04-2020,Organic,09-04-2021,Premium,Monthly,,,26.62,944,49
1499-PJRLR,26-11-2021,Organic,26-11-2022,Standard,Monthly,,,17.38,1219,99
1500-GNFFG,22-07-2023,Paid,22-07-2024,Standard,Monthly,,,16.65,1091,82
1501-XHMEA,20-06-2024,Organic,20-06-2025,Basic,Annual,,,9.7,554,29
1502-XNLUY,05-03-2023,Organic,05-03-2024,Standard,Annual,15-06-2023,Not enough content,13.98,621,44
1503-HEWLT,22-09-2022,Organic,22-09-2023,Standard,Monthly,16-06-2023,Too expensive,15.52,904,77
1504-VTLKB,25-10-2023,Organic,25-10-2024,Standard,Monthly,,,17.24,547,29
1505-CKEDH,12-02-2022,Refferal,12-02-2023,Standard,Monthly,,,12.41,476,13
1506-PKLMZ,11-12-2022,Organic,11-12-2023,Premium,Annual,15-08-2023,Forgot to cancel trial,20.72,1197,88
1507-BAYSG,22-10-2019,Paid,22-10-2020,Standard,Monthly,,,11.74,704,99
1508-HLLHA,05-02-2023,Organic,05-02-2024,Standard,Annual,,,15.27,802,42
1509-FVWTN,03-12-2023,Organic,03-12-2024,Basic,Annual,,,7.17,786,67
1510-TTBXZ,16-10-2021,Organic,16-10-2022,Basic,Annual,,,11.39,333,30
1511-BKEGA,01-04-2020,Paid,01-04-2021,Standard,Monthly,,,14.3,834,18
1512-LQNMP,09-07-2024,Paid,09-07-2025,Standard,Annual,14-04-2025,Forgot to cancel trial,13.67,622,40
1513-QEJLZ,04-02-2023,Organic,04-02-2024,Standard,Monthly,26-05-2023,Poor streaming quality,15.12,566,43
1514-FXGUR,06-08-2021,Organic,06-08-2022,Premium,Monthly,,,14.67,986,61
1515-EXKRZ,24-10-2023,Paid,24-10-2024,Standard,Monthly,08-10-2024,Poor streaming quality,17.64,818,48
1516-AQUKN,01-02-2021,Organic,01-02-2022,Basic,Monthly,,,9.02,757,27
1517-ZNCQH,26-02-2022,Paid,26-02-2023,Standard,Monthly,01-02-2023,Forgot to cancel trial,15.68,853,87
1518-VBVVT,28-03-2019,Paid,28-03-2020,Basic,Annual,22-07-2019,Not enough content,7.54,358,24
1519-XVFCR,11-08-2024,Paid,11-08-2025,Premium,Annual,,,20.49,1240,65
1520-GFJJG,10-10-2020,Organic,10-10-2021,Premium,Monthly,,,19.22,876,96
1521-MXZRQ,01-07-2022,Organic,01-07-2023,Standard,Monthly,15-10-2022,Not enough content,13.94,327,38
1522-CEMPR,03-09-2021,Refferal,03-09-2022,Basic,Annual,,,9.93,422,58
1523-LNFVE,07-12-2019,Refferal,07-12-2020,Standard,Annual,09-06-2020,Switched to competitor,14.14,319,59
1524-UMCXB,10-08-2023,Refferal,10-08-2024,Standard,Annual,22-04-2024,Too expensive,12.83,493,66
1525-UZGKG,22-05-2021,Organic,22-05-2022,Standard,Monthly,,,14.64,1019,24
1526-HZMDB,07-04-2019,Paid,07-04-2020,Basic,Monthly,,,7.91,791,15
1527-FSHEK,16-05-2020,Organic,16-05-2021,Premium,Annual,,,19.37,1049,35
1528-HHPUA,07-12-2019,Organic,07-12-2020,Basic,Annual,,,10.52,570,18
1529-HPEFN,23-07-2024,Organic,23-07-2025,Premium,Annual,,,21.93,1046,69
1530-YCDTH,19-06-2020,Paid,19-06-2021,Standard,Annual,,,13.18,786,31
1531-UWSTY,07-06-2021,Organic,07-06-2022,Standard,Annual,,,11.63,561,2
1532-KKMBN,11-10-2021,Paid,11-10-2022,Standard,Annual,,,15.98,732,2
1533-VWCYQ,21-03-2019,Paid,21-03-2020,Standard,Monthly,,,15.35,971,99
1534-KHQKA,07-11-2024,Organic,07-11-2025,Premium,Monthly,,,19.39,1343,57
1535-UEEAQ,06-05-2020,Refferal,06-05-2021,Standard,Monthly,03-12-2020,Switched to competitor,12.57,453,37
1536-LWKLT,17-03-2019,Organic,17-03-2020,Premium,Annual,,,18.89,944,56
1537-QTHEZ,12-02-2022,Organic,12-02-2023,Standard,Monthly,,,14.7,756,50
